[2026-03-04 13:26:54] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 13:37:50] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 13:37:50] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 13:42:10] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 13:42:10] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 14:12:10] [INFO    ] [run] [>] GET /admin from 127.0.0.1
[2026-03-04 14:12:10] [INFO    ] [auth_bp] [*] Accessing Admin Control Center (User: DivyaViradiya)
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/ from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/network from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/zap from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/ssl from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /sql_scanner/report_files from 127.0.0.1
[2026-03-04 14:12:25] [INFO    ] [run] [>] GET /dashboard/api/stats/sql from 127.0.0.1
[2026-03-04 14:12:26] [INFO    ] [run] [>] GET /dashboard/api/stats/api from 127.0.0.1
[2026-03-04 14:12:26] [INFO    ] [run] [>] GET /dashboard/api/stats/semgrep from 127.0.0.1
[2026-03-04 14:12:26] [INFO    ] [run] [>] GET /chatbot/get_sessions from 127.0.0.1
[2026-03-04 14:12:26] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 14:18:12] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET / from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [*] Accessing Home Page
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 14:26:56] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 14:27:01] [INFO    ] [run] [>] GET /arsenal from 127.0.0.1
[2026-03-04 14:27:01] [INFO    ] [run] [*] Accessing Security Arsenal Hub
[2026-03-04 14:27:02] [INFO    ] [run] [>] GET /killchain/ from 127.0.0.1
[2026-03-04 14:27:02] [INFO    ] [killchain_bp] [*] Accessing Kill Chain Audit Page (User: DivyaViradiya)
[2026-03-04 14:27:03] [INFO    ] [run] [>] GET /killchain/check_active_scan from 127.0.0.1
[2026-03-04 14:27:03] [INFO    ] [run] [>] GET /killchain/report_history from 127.0.0.1
[2026-03-04 14:27:03] [INFO    ] [run] [>] GET /killchain/get_json_report from 127.0.0.1
[2026-03-04 14:27:11] [INFO    ] [run] [>] GET /killchain/report_history from 127.0.0.1
[2026-03-04 14:27:14] [INFO    ] [run] [>] GET /killchain/report_history from 127.0.0.1
[2026-03-04 14:27:16] [INFO    ] [run] [>] GET /arsenal from 127.0.0.1
[2026-03-04 14:27:16] [INFO    ] [run] [*] Accessing Security Arsenal Hub
[2026-03-04 14:27:18] [INFO    ] [run] [>] GET /ssl_scanner/ from 127.0.0.1
[2026-03-04 14:27:19] [INFO    ] [run] [>] GET /ssl_scanner/report from 127.0.0.1
[2026-03-04 14:27:19] [INFO    ] [run] [>] GET /ssl_scanner/log_stream from 127.0.0.1
[2026-03-04 14:27:20] [INFO    ] [run] [>] GET /arsenal from 127.0.0.1
[2026-03-04 14:27:20] [INFO    ] [run] [*] Accessing Security Arsenal Hub
[2026-03-04 14:27:23] [INFO    ] [run] [>] GET /killchain/ from 127.0.0.1
[2026-03-04 14:27:23] [INFO    ] [killchain_bp] [*] Accessing Kill Chain Audit Page (User: DivyaViradiya)
[2026-03-04 14:27:23] [INFO    ] [run] [>] GET /killchain/check_active_scan from 127.0.0.1
[2026-03-04 14:27:23] [INFO    ] [run] [>] GET /killchain/report_history from 127.0.0.1
[2026-03-04 14:27:23] [INFO    ] [run] [>] GET /killchain/get_json_report from 127.0.0.1
[2026-03-04 14:27:35] [INFO    ] [run] [>] POST /killchain/dispatch from 127.0.0.1
[2026-03-04 14:27:35] [INFO    ] [killchain_bp] [35m[*] Kill Chain Audit requested for testphp.vulnweb.com by DivyaViradiya[0m
[2026-03-04 14:27:35] [INFO    ] [run] [>] GET /killchain/log_stream from 127.0.0.1
[2026-03-04 14:27:38] [INFO    ] [killchain_service] [START] [START] Kill Chain Audit: testphp.vulnweb.com (Profile: Full Scan, Aggression: Attack)
[2026-03-04 14:27:38] [INFO    ] [killchain_service] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 14:27:38] [INFO    ] [killchain_service] [INFO] [SETUP] Starting background traffic capture...
[2026-03-04 14:27:41] [INFO    ] [traffic_analyzer]    [*] TShark: Flight Recorder started on 44.228.249.3 (iface: 1)...
[2026-03-04 14:27:41] [INFO    ] [killchain_service] [PHASE] [PHASE] RECONNAISSANCE - Surface Area Discovery
[2026-03-04 14:27:41] [INFO    ] [killchain_service] [STAGE] [STAGE] Scanning for subdomains and active hosts...
[2026-03-04 14:27:41] [INFO    ] [recon] [*] Searching for subdomains for: testphp.vulnweb.com...
[2026-03-04 14:27:41] [INFO    ] [recon]    [>] Querying crt.sh...
[2026-03-04 14:27:43] [INFO    ] [recon]    [+] crt.sh found 0 potential subdomains.
[2026-03-04 14:27:43] [INFO    ] [recon]    [>] Querying HackerTarget...
[2026-03-04 14:27:43] [INFO    ] [recon]    [+] HackerTarget found 1 subdomains.
[2026-03-04 14:27:43] [INFO    ] [recon]    [>] Querying Wayback Machine (Archive.org)...
[2026-03-04 14:28:09] [INFO    ] [killchain_service] [INFO] [+] Found 1 potential subdomains.
[2026-03-04 14:28:09] [INFO    ] [killchain_service] [STAGE] [STAGE] Resolving subdomain IPs...
[2026-03-04 14:28:09] [INFO    ] [recon]    [>] Attempting DNS Zone Transfer (AXFR) on vulnweb.com...
[2026-03-04 14:29:12] [INFO    ] [recon] [*] Resolving IPs for 1 subdomains...
[2026-03-04 14:29:12] [INFO    ] [killchain_service] [INFO] [+] Resolved 1 host IPs.
[2026-03-04 14:29:12] [INFO    ] [killchain_service] [STAGE] [STAGE] Detecting target technology stack...
[2026-03-04 14:29:12] [INFO    ] [tech_detector] [*] Fingerprinting Technology for testphp.vulnweb.com...
[2026-03-04 14:29:13] [INFO    ] [killchain_service] [INFO] [+] Detected technologies: Server, Language
[2026-03-04 14:29:13] [INFO    ] [killchain_service] [PHASE] [PHASE] NETWORK AUDIT - Infrastructure Assessment
[2026-03-04 14:29:13] [INFO    ] [killchain_service] [INFO] [+] Resolved testphp.vulnweb.com to IP: 44.228.249.3
[2026-03-04 14:29:13] [INFO    ] [killchain_service] [STAGE] [STAGE] Running Nmap full scan on 44.228.249.3...
[2026-03-04 14:29:13] [INFO    ] [scanner] [*] Starting Nmap full scan on 44.228.249.3...
[2026-03-04 14:34:20] [INFO    ] [run] [>] GET /killchain/ from 127.0.0.1
[2026-03-04 14:34:20] [INFO    ] [killchain_bp] [*] Accessing Kill Chain Audit Page (User: DivyaViradiya)
[2026-03-04 14:34:21] [INFO    ] [run] [>] GET /killchain/check_active_scan from 127.0.0.1
[2026-03-04 14:34:21] [INFO    ] [run] [>] GET /killchain/report_files from 127.0.0.1
[2026-03-04 14:34:21] [INFO    ] [run] [>] GET /killchain/log_stream from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/ from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/zap from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/network from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/ssl from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/sniffer from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/killchain from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/compliance from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/usage from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /sql_scanner/report_files from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/sql from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/api from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/semgrep from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /chatbot/get_sessions from 127.0.0.1
[2026-03-04 14:34:54] [INFO    ] [run] [>] GET /dashboard/api/stats/reports from 127.0.0.1
[2026-03-04 14:35:01] [INFO    ] [run] [>] GET /chatbot/ from 127.0.0.1
[2026-03-04 14:35:01] [INFO    ] [run] [>] GET /chatbot/get_history from 127.0.0.1
[2026-03-04 14:35:28] [INFO    ] [run] [>] GET /arsenal from 127.0.0.1
[2026-03-04 14:35:28] [INFO    ] [run] [*] Accessing Security Arsenal Hub
[2026-03-04 14:35:29] [INFO    ] [run] [>] GET /killchain/ from 127.0.0.1
[2026-03-04 14:35:29] [INFO    ] [killchain_bp] [*] Accessing Kill Chain Audit Page (User: DivyaViradiya)
[2026-03-04 14:35:29] [INFO    ] [run] [>] GET /killchain/check_active_scan from 127.0.0.1
[2026-03-04 14:35:29] [INFO    ] [run] [>] GET /killchain/report_files from 127.0.0.1
[2026-03-04 14:35:29] [INFO    ] [run] [>] GET /killchain/log_stream from 127.0.0.1
[2026-03-04 14:35:46] [INFO    ] [killchain_service] [INFO] [+] Nmap scan completed. Found 1 open ports.
[2026-03-04 14:35:46] [INFO    ] [killchain_service] [STAGE] [STAGE] Attempting brute-force on open services (Level: aggressive)...
[2026-03-04 14:35:46] [INFO    ] [network_exploiter] [*] Starting Brute Force Engine on 44.228.249.3...
[2026-03-04 14:35:47] [INFO    ] [killchain_service] [INFO] [+] No exploitable services found or brute-force failed.
[2026-03-04 14:35:47] [INFO    ] [killchain_service] [PHASE] [PHASE] WAF DETECTION
[2026-03-04 14:35:47] [INFO    ] [killchain_service] [STAGE] [STAGE] Checking for Web Application Firewall (WAF)...
[2026-03-04 14:35:47] [INFO    ] [waf_detector] [*] Checking for WAF/CDN on testphp.vulnweb.com...
[2026-03-04 14:35:48] [INFO    ] [waf_detector]    [>] Sending provocation payloads (SQLi, XSS, LFI)...
[2026-03-04 14:35:51] [INFO    ] [waf_detector]    [>] Testing for Rate Limiting (10 requests)...
[2026-03-04 14:35:54] [INFO    ] [killchain_service] [INFO] [+] No WAF detected.
[2026-03-04 14:35:54] [INFO    ] [killchain_service] [PHASE] [PHASE] WEB AUDIT - Application Assessment
[2026-03-04 14:35:54] [INFO    ] [killchain_service] [STAGE] [STAGE] Crawling web application (Max Pages: 1000)...
